Project,Dependency,DependencyJar,TotalOriginalClasses
jacop,org.scala-lang:scala-reflect:2.13.1,scala-reflect-2.13.1,1418
jacop,log4j:log4j:1.2.17,log4j-1.2.17,314
jacop,org.mockito:mockito-all:1.10.19,mockito-all-1.10.19,752
jacop,jline:jline:2.14.6,jline-2.14.6,105
jacop,org.slf4j:slf4j-log4j12:1.7.24,slf4j-log4j12-1.7.24,8
jacop,org.slf4j:slf4j-api:1.7.24,slf4j-api-1.7.24,34
jacop,org.scala-lang:scala-library:2.13.1,scala-library-2.13.1,2829
Recaf,net.jcip:jcip-annotations:1.0,jcip-annotations-1.0,4
Recaf,org.w3c.css:sac:1.3,sac-1.3,29
Recaf,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava,0
Recaf,org.jline:jline:3.19.0,jline-3.19.0,375
Recaf,com.github.Col-E:CAFED00D:1.9.6,CAFED00D-1.9.6,132
Recaf,com.github.Col-E:SimAnalyzer:1.6.0,SimAnalyzer-1.6.0,40
Recaf,org.apache.commons:commons-lang3:3.11,commons-lang3-3.11,339
Recaf,org.jline:jline-builtins:3.21.0,jline-builtins-3.21.0,72
Recaf,ch.qos.logback:logback-classic:1.2.10,logback-classic-1.2.10,157
Recaf,org.fxmisc.wellbehaved:wellbehavedfx:0.3.3,wellbehavedfx-0.3.3,41
Recaf,org.bitbucket.mstrobel:procyon-core:0.6.0,procyon-core-0.6.0,161
Recaf,org.fxmisc.richtext:richtextfx:0.10.6,richtextfx-0.10.6,144
Recaf,org.ow2.asm:asm-tree:9.2,asm-tree-9.2,39
Recaf,com.google.j2objc:j2objc-annotations:1.3,j2objc-annotations-1.3,12
Recaf,net.java.dev.jna:jna:5.9.0,jna-5.9.0,117
Recaf,org.reactfx:reactfx:2.0-M5,reactfx-2.0-M5,356
Recaf,org.fxmisc.undo:undofx:2.1.0,undofx-2.1.0,21
Recaf,org.jline:jline-terminal:3.21.0,jline-terminal-3.21.0,93
Recaf,org.benf:cfr:0.152,cfr-0.152,1302
Recaf,commons-codec:commons-codec:1.15,commons-codec-1.15,106
Recaf,com.google.guava:failureaccess:1.0.1,failureaccess-1.0.1,2
Recaf,org.slf4j:slf4j-api:1.7.30,slf4j-api-1.7.30,34
Recaf,org.jsoup:jsoup:1.14.3,jsoup-1.14.3,259
Recaf,org.bitbucket.mstrobel:procyon-compilertools:0.6.0,procyon-compilertools-0.6.0,874
Recaf,com.google.errorprone:error_prone_annotations:2.11.0,error_prone_annotations-2.11.0,26
Recaf,org.ow2.asm:asm:9.2,asm-9.2,38
Recaf,net.sourceforge.cssparser:cssparser:0.9.29,cssparser-0.9.29,104
Recaf,com.google.guava:guava:31.1-jre,guava-31.1-jre,2023
Recaf,com.google.code.findbugs:jsr305:3.0.2,jsr305-3.0.2,35
Recaf,org.jgrapht:jgrapht-core:1.0.1,jgrapht-core-1.0.1,376
Recaf,org.jline:jline-reader:3.21.0,jline-reader-3.21.0,69
Recaf,com.esotericsoftware:reflectasm:1.11.9,reflectasm-1.11.9,26
Recaf,info.picocli:picocli-shell-jline3:4.6.3,picocli-shell-jline3-4.6.3,5
Recaf,net.sourceforge.jregex:jregex:1.2_01,jregex-1.2_01,68
Recaf,commons-io:commons-io:2.11.0,commons-io-2.11.0,201
Recaf,org.plugface:plugface-core:0.7.1,plugface-core-0.7.1,20
Recaf,com.github.javaparser:javaparser-symbol-solver-core:3.24.2,javaparser-symbol-solver-core-3.24.2,194
Recaf,io.github.soc:directories:12,directories-12,5
Recaf,ch.qos.logback:logback-core:1.2.3,logback-core-1.2.3,373
Recaf,info.picocli:picocli:4.6.3,picocli-4.6.3,225
Recaf,org.ow2.asm:asm-analysis:9.2,asm-analysis-9.2,15
Recaf,javax.inject:javax.inject:1,javax.inject-1,6
Recaf,args4j:args4j:2.33,args4j-2.33,74
Recaf,com.github.javaparser:javaparser-core:3.24.2,javaparser-core-3.24.2,615
Recaf,org.checkerframework:checker-qual:3.12.0,checker-qual-3.12.0,333
Recaf,org.ow2.asm:asm-commons:9.2,asm-commons-9.2,28
Recaf,org.jline:jline-terminal-jna:3.21.0,jline-terminal-jna-3.21.0,38
Recaf,com.github.Col-E:jphantom:1.4.3,jphantom-1.4.3,157
Recaf,com.google.code.findbugs:annotations:3.0.1,annotations-3.0.1,60
Recaf,org.ow2.asm:asm-util:9.2,asm-util-9.2,25
Recaf,org.jline:jline-style:3.21.0,jline-style-3.21.0,18
Recaf,com.eclipsesource.minimal-json:minimal-json:0.9.5,minimal-json-0.9.5,23
Recaf,org.fxmisc.flowless:flowless:0.6.3,flowless-0.6.3,42
Recaf,net.minecraftforge:forgeflower:1.5.498.29,forgeflower-1.5.498.29,262
Recaf,org.commonmark:commonmark:0.18.2,commonmark-0.18.2,150
Recaf,org.javassist:javassist:3.28.0-GA,javassist-3.28.0-GA,426
Chronicle-Map,net.openhft:affinity:3.23ea1,affinity-3.23ea1,49
Chronicle-Map,net.openhft:chronicle-core:2.23.35,chronicle-core-2.23.35,303
Chronicle-Map,net.openhft:posix:2.23.1,posix-2.23.1,27
Chronicle-Map,com.github.jnr:jnr-ffi:2.2.11,jnr-ffi-2.2.11,666
Chronicle-Map,com.github.jnr:jffi:1.3.9,jffi-1.3.9,126
Chronicle-Map,org.ow2.asm:asm:9.2,asm-9.2,38
Chronicle-Map,org.ow2.asm:asm-commons:9.2,asm-commons-9.2,28
Chronicle-Map,org.ow2.asm:asm-analysis:9.2,asm-analysis-9.2,15
Chronicle-Map,org.ow2.asm:asm-tree:9.2,asm-tree-9.2,39
Chronicle-Map,org.ow2.asm:asm-util:9.2,asm-util-9.2,25
Chronicle-Map,com.github.jnr:jnr-a64asm:1.0.0,jnr-a64asm-1.0.0,48
Chronicle-Map,com.github.jnr:jnr-x86asm:1.0.2,jnr-x86asm-1.0.2,84
Chronicle-Map,com.github.jnr:jnr-constants:0.10.3,jnr-constants-0.10.3,1038
Chronicle-Map,net.openhft:chronicle-analytics:2.23.2,chronicle-analytics-2.23.2,16
Chronicle-Map,net.openhft:chronicle-values:2.23.3,chronicle-values-2.23.3,84
Chronicle-Map,net.openhft:chronicle-bytes:2.23.30,chronicle-bytes-2.23.30,189
Chronicle-Map,com.squareup:javapoet:1.13.0,javapoet-1.13.0,43
Chronicle-Map,net.openhft:chronicle-threads:2.23.25,chronicle-threads-2.23.25,54
Chronicle-Map,org.slf4j:slf4j-api:1.7.32,slf4j-api-1.7.32,34
Chronicle-Map,net.openhft:chronicle-wire:2.23.39,chronicle-wire-2.23.39,411
Chronicle-Map,net.openhft:compiler:2.23ea0,compiler-2.23ea0,8
Chronicle-Map,net.openhft:chronicle-algorithms:2.23.4,chronicle-algorithms-2.23.4,108
Chronicle-Map,net.java.dev.jna:jna:5.5.0,jna-5.5.0,115
Chronicle-Map,net.java.dev.jna:jna-platform:5.5.0,jna-platform-5.5.0,1173
Chronicle-Map,com.thoughtworks.xstream:xstream:1.4.19,xstream-1.4.19,490
Chronicle-Map,io.github.x-stream:mxparser:1.2.2,mxparser-1.2.2,1
Chronicle-Map,xmlpull:xmlpull:1.1.3.1,xmlpull-1.1.3.1,4
